Hour,EventCategory,Estimated_Attendance
2021-01-01 19:00:00,Cultural & Tourism Event,9.13621262458472
2021-01-01 17:00:00,Other,6.538461538461538
2021-01-01 10:00:00,Other,3.0228233305156382
2021-01-01 23:00:00,Other,7.684870188003581
2021-01-01 06:00:00,Other,4.820627802690582
2021-01-01 09:00:00,Other,9.81456953642384
2021-01-01 07:00:00,Other,9.703153988868277
,Other,10.0
2021-01-01 06:00:00,Other,9.639344262295085
2021-01-01 13:00:00,Sports & Competition,3.7884615384615374
2021-01-01 04:00:00,Other,0.9589041095890412
2021-01-01 13:00:00,Other,0.9589041095890412
2021-01-01 15:00:00,Cultural & Tourism Event,19.61855251889358
2021-01-01 13:00:00,Sports & Competition,0.9589041095890412
2021-01-01 04:00:00,Sports & Competition,0.9589041095890412
2021-01-01 10:00:00,Religious Event,5.086206896551724
2021-01-01 20:00:00,Other,3.0321811680572104
2021-01-01 22:00:00,Other,2.0214541120381404
2021-01-01 21:00:00,Religious Event,1.0107270560190702
2021-01-01 21:00:00,Religious Event,3.0321811680572104
2021-01-01 20:00:00,Religious Event,2.0214541120381404
2021-01-01 22:00:00,Religious Event,3.0321811680572104
,Other,10.372881355932204
2021-01-01 14:00:00,Religious Event,4.108991825613079
2021-01-01 14:00:00,Religious Event,1.0272479564032695
2021-01-01 14:00:00,Religious Event,15.390692708225002
,Other,5.025380710659898
2021-01-01 15:00:00,Religious Event,3.0339366515837103
2021-01-01 22:00:00,Other,10.625
2021-01-01 15:00:00,Religious Event,1.01131221719457
2021-01-01 21:00:00,Other,9.537110933758978
2021-01-01 09:00:00,Other,6.936855670103093
2021-01-01 06:00:00,Religious Event,1.972508591065292
2021-01-01 23:00:00,Other,9.527777777777777
2021-01-01 08:00:00,Religious Event,5.538461538461538
2021-01-01 00:00:00,Other,2.973684210526316
2021-01-01 10:00:00,Other,6.099706744868035
2021-01-01 16:00:00,Other,0.9870067372473532
2021-01-01 18:00:00,Other,3.948026948989413
2021-01-01 09:00:00,Cultural & Tourism Event,0.990979381443299
2021-01-01 02:00:00,Other,2.006172839506173
2021-01-01 09:00:00,Other,3.948026948989413
2021-01-01 18:00:00,Other,5.92204042348412
2021-01-01 19:00:00,Other,3.873684210526316
2021-01-01 22:00:00,Other,19.68253968253968
2021-01-01 23:00:00,Religious Event,8.0
2021-01-01 21:00:00,Religious Event,2.0
2021-01-01 23:00:00,Other,8.0
2021-01-01 06:00:00,Religious Event,6.0
2021-01-01 17:00:00,Religious Event,2.0422764227642274
2021-01-01 17:00:00,Religious Event,6.126829268292682
2021-01-01 18:00:00,Other,2.96102021174206
2021-01-01 21:00:00,Cultural & Tourism Event,5.0
2021-01-01 16:00:00,Other,1.9740134744947064
2021-01-01 23:00:00,Other,2.0
2021-01-01 04:00:00,Other,9.563106796116504
,Religious Event,9.829059829059828
2021-01-01 09:00:00,Religious Event,7.836107554417413
2021-01-01 13:00:00,Religious Event,5.023969319271333
2021-01-01 17:00:00,Religious Event,2.03683241252302
2021-01-01 14:00:00,Other,2.048799685163321
2021-01-01 19:00:00,Other,9.219598583234946
2021-01-01 10:00:00,Religious Event,3.790163934426229
2021-01-01 14:00:00,Cultural & Tourism Event,1.0243998425816607
2021-01-01 19:00:00,Cultural & Tourism Event,4.097599370326643
2021-01-01 18:00:00,Cultural & Tourism Event,4.097599370326643
2021-01-01 18:00:00,Cultural & Tourism Event,1.0243998425816607
2021-01-01 19:00:00,Cultural & Tourism Event,1.0243998425816607
2021-01-01 19:00:00,Cultural & Tourism Event,2.048799685163321
2021-01-01 18:00:00,Cultural & Tourism Event,3.073199527744982
2021-01-01 19:00:00,Other,1.8831168831168832
2021-01-01 20:00:00,Other,7.532467532467533
2021-01-01 16:00:00,Religious Event,4.084552845528455
2021-01-01 16:00:00,Cultural & Tourism Event,2.0422764227642274
2021-01-01 17:00:00,Cultural & Tourism Event,6.126829268292682
2021-01-01 19:00:00,Cultural & Tourism Event,6.107462686567164
2021-01-01 01:00:00,Other,6.0
2021-01-01 02:00:00,Other,6.0
2021-01-01 19:00:00,Other,4.568106312292359
2021-01-01 08:00:00,Other,9.734982332155475
2021-01-01 13:00:00,Cultural & Tourism Event,1.8882235528942115
2021-01-01 22:00:00,Other,2.010978956999085
2021-01-01 08:00:00,Other,19.137254901960784
2021-01-01 20:00:00,Other,4.885964912280702
2021-01-01 00:00:00,Other,1.9525979945305376
2021-01-01 00:00:00,Other,5.8577939835916135
2021-01-01 10:00:00,Other,1.9525979945305376
2021-01-01 18:00:00,Cultural & Tourism Event,10.16867469879518
2021-01-01 10:00:00,Cultural & Tourism Event,10.07607776838546
2021-01-01 10:00:00,Other,10.166177908113392
2021-01-01 05:00:00,Other,5.188679245283019
2021-01-01 23:00:00,Sports & Competition,9.527777777777777
2021-01-01 07:00:00,Public Gathering,10.0
2021-01-01 07:00:00,Cultural & Tourism Event,5.821892393320965
2021-01-01 11:00:00,Other,4.6875
2021-01-01 15:00:00,Other,1.9123649459783916
2021-01-01 03:00:00,Cultural & Tourism Event,7.87434554973822
2021-01-01 15:00:00,Other,2.8685474189675872
2021-01-01 09:00:00,Other,0.979665071770335
2021-01-01 06:00:00,Other,5.704433497536947
2021-01-01 05:00:00,Other,3.802955665024631
2021-01-01 05:00:00,Other,9.507389162561577
2021-01-01 06:00:00,Cultural & Tourism Event,3.977900552486188
2021-01-01 06:00:00,Religious Event,9.507389162561577
2021-01-01 04:00:00,Other,9.507389162561577
2021-01-01 06:00:00,Other,1.988950276243094
2021-01-01 07:00:00,Other,1.988950276243094
2021-01-01 06:00:00,Cultural & Tourism Event,1.988950276243094
2021-01-01 07:00:00,Cultural & Tourism Event,1.988950276243094
2021-01-01 06:00:00,Cultural & Tourism Event,5.966850828729282
2021-01-01 07:00:00,Other,5.966850828729282
2021-01-01 07:00:00,Cultural & Tourism Event,5.966850828729282
2021-01-01 15:00:00,Other,10.0
2021-01-01 19:00:00,Other,1.0243998425816607
2021-01-01 15:00:00,Other,7.857142857142858
2021-01-01 12:00:00,Other,14.640718562874252
2021-01-01 03:00:00,Religious Event,10.132978723404255
2021-01-01 02:00:00,Other,9.832167832167832
2021-01-01 02:00:00,Other,6.882517482517482
2021-01-01 07:00:00,Cultural & Tourism Event,8.254416961130742
,Religious Event,10.240963855421688
2021-01-01 06:00:00,Religious Event,9.789473684210526
2021-01-01 09:00:00,Public Gathering,5.873684210526315
2021-01-01 09:00:00,Cultural & Tourism Event,3.91578947368421
2021-01-01 22:00:00,Other,4.820627802690582
2021-01-01 23:00:00,Cultural & Tourism Event,4.820627802690582
2021-01-01 23:00:00,Other,4.820627802690582
2021-01-01 06:00:00,Religious Event,4.819672131147541
2021-01-01 20:00:00,Other,5.783606557377049
2021-01-01 13:00:00,Sports & Competition,1.9178082191780823
2021-01-01 22:00:00,Sports & Competition,4.803043867502238
2021-01-01 12:00:00,Cultural & Tourism Event,9.545454545454549
2021-01-01 19:00:00,Other,3.073199527744982
2021-01-01 06:00:00,Cultural & Tourism Event,7.955801104972376
2021-01-01 09:00:00,Other,2.0332355816226784
2021-01-01 10:00:00,Religious Event,4.066471163245357
2021-01-01 10:00:00,Other,7.580327868852458
2021-01-01 10:00:00,Other,2.0332355816226784
2021-01-01 08:00:00,Other,7.654901960784313
2021-01-01 13:00:00,Other,4.895833333333334
2021-01-01 22:00:00,Other,6.032936870997255
2021-01-01 13:00:00,Other,4.16969696969697
2021-01-01 14:00:00,Other,1.0254452926208653
2021-01-01 14:00:00,Other,2.0508905852417305
2021-01-01 05:00:00,Other,4.150943396226415
2021-01-01 13:00:00,Other,6.854166666666667
2021-01-01 14:00:00,Other,2.9375
2021-01-01 07:00:00,Other,1.9964747356051704
2021-01-01 07:00:00,Other,7.985898942420682
2021-01-01 11:00:00,Religious Event,0.951219512195122
2021-01-01 13:00:00,Religious Event,1.9580524344569288
2021-01-01 16:00:00,Religious Event,6.039045553145336
2021-01-01 16:00:00,Religious Event,1.920335429769392
2021-01-01 08:00:00,Religious Event,6.987661574618096
2021-01-01 11:00:00,Cultural & Tourism Event,1.902439024390244
2021-01-01 06:00:00,Cultural & Tourism Event,3.7816901408450714
2021-01-01 21:00:00,Cultural & Tourism Event,3.0
2021-01-01 22:00:00,Cultural & Tourism Event,7.713004484304932
2021-01-01 10:00:00,Other,4.234862385321101
2021-01-01 20:00:00,Other,6.0
2021-01-01 20:00:00,Other,2.0
2021-01-01 02:00:00,Other,6.018518518518519
2021-01-01 14:00:00,Other,9.326923076923077
2021-01-01 10:00:00,Other,2.015215553677092
2021-01-01 12:00:00,Other,3.8181818181818175
2021-01-01 01:00:00,Other,8.754048582995951
2021-01-01 14:00:00,Public Gathering,1.85
2021-01-01 12:00:00,Public Gathering,3.8181818181818175
2021-01-01 20:00:00,Sports & Competition,8.128
2021-01-01 16:00:00,Sports & Competition,0.9870067372473532
2021-01-01 09:00:00,Other,1.780346820809248
2021-01-01 20:00:00,Other,2.0154440154440154
2021-01-01 19:00:00,Other,1.9811616954474096
2021-01-01 18:00:00,Other,1.9811616954474096
2021-01-01 12:00:00,Cultural & Tourism Event,2.0433925049309667
2021-01-01 12:00:00,Other,2.0433925049309667
2021-01-01 14:00:00,Other,1.85
2021-01-01 16:00:00,Sports & Competition,5.550000000000001
2021-01-01 16:00:00,Sports & Competition,1.9740134744947064
2021-01-01 09:00:00,Sports & Competition,1.9740134744947064
2021-01-01 17:00:00,Other,2.048799685163321
2021-01-01 16:00:00,Cultural & Tourism Event,9.790262172284644
2021-01-01 14:00:00,Other,3.076335877862596
