GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Name,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,DATEADDED,SOURCEURL
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
0,,,,,,,,0,,,,,,,,20250307093000,https://www.neowin.net/news/microsoft-updates-support-page-with-alternatives-to-the-soon-to-be-retired-publisher/
0,,,,,,,,1,Canada,CA,CA,,60.0,-96.0,CA,20250307093000,https://www.bloomberg.com/news/articles/2025-03-06/-ice-queen-no-more-sheinbaum-charms-trump-on-tariffs
0,,,,,,,,1,Canada,CA,CA,,60.0,-96.0,CA,20250307093000,https://www.bloomberg.com/news/articles/2025-03-06/-ice-queen-no-more-sheinbaum-charms-trump-on-tariffs
0,,,,,,,,4,"Tapanui, New Zealand (general), New Zealand",NZ,NZ00,22391,-45.8833,169.4,-1518918,20250307093000,https://www.odt.co.nz/regions/south-otago/superfan-revels-%E2%80%98superlative-city%E2%80%99
0,,,,,,,,4,"Tapanui, New Zealand (general), New Zealand",NZ,NZ00,22391,-45.8833,169.4,-1518918,20250307093000,https://www.odt.co.nz/regions/south-otago/superfan-revels-%E2%80%98superlative-city%E2%80%99
0,,,,,,,,4,"Taize, Poitou-Charentes, France",FR,FRB7,16319,46.0653,0.23591,-1471961,20250307093000,https://www.networknorwich.co.uk/Articles/711276/Network_Norwich_and_Norfolk/Opportunities/Resources/Join_the_Bishop_of_Norwich_on_summer.aspx
4,"Demchok, India (general), India",IN,IN00,12983,32.6986,79.4486,-2094243,4,"Demchok, India (general), India",IN,IN00,12983,32.6986,79.4486,-2094243,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Russia,RS,RS,,60.0,100.0,RS,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Santa Clara, Villa Clara, Cuba",CU,CU16,14799,22.1667,-79.7667,-1644369,4,"Santa Clara, Villa Clara, Cuba",CU,CU16,14799,22.1667,-79.7667,-1644369,20250307093000,https://www.cbc.ca/news/business/sunwing-cancel-flights-1.7476076
4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Santa Clara, Villa Clara, Cuba",CU,CU16,14799,22.1667,-79.7667,-1644369,20250307093000,https://www.cbc.ca/news/business/sunwing-cancel-flights-1.7476076
4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20250307093000,https://www.dailymail.co.uk/news/article-14472255/Hamas-hostages-threat-Donald-Trump-warned-dead.html
4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,20250307093000,https://www.yahoo.com/news/japan-says-trade-minister-visit-084257721.html
1,Japan,JA,JA,,36.0,138.0,JA,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250307093000,https://www.moneycontrol.com/world/japan-says-trade-minister-will-visit-washington-for-march-9-11-to-meet-us-officials-article-12959000.html
1,Japan,JA,JA,,36.0,138.0,JA,1,Japan,JA,JA,,36.0,138.0,JA,20250307093000,https://www.moneycontrol.com/world/japan-says-trade-minister-will-visit-washington-for-march-9-11-to-meet-us-officials-article-12959000.html
4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250307093000,https://www.yahoo.com/news/japan-says-trade-minister-visit-084257721.html
1,Japan,JA,JA,,36.0,138.0,JA,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250307093000,https://www.moneycontrol.com/world/japan-says-trade-minister-will-visit-washington-for-march-9-11-to-meet-us-officials-article-12959000.html
4,"Cheras, Malaysia (general), Malaysia",MY,MY00,18585,3.05,101.767,-2360826,4,"Cheras, Malaysia (general), Malaysia",MY,MY00,18585,3.05,101.767,-2360826,20250307093000,https://www.thestar.com.my/news/nation/2025/03/07/senior-cop-claims-trial-to-theft-dereliction-of-duty-charges
