GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Russia,RS,RS,,60.0,100.0,RS,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20250307094500,https://www.mykxlg.com/news/national/ap-news-summary-at-3-57-a-m-est/article_6a661f4a-b1e2-5e61-9139-7e7913c85528.html
4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
4,"Istanbul, Istanbul, Turkey",TU,TU34,27897,41.0186,28.9647,-755070,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Istanbul, Istanbul, Turkey",TU,TU34,27897,41.0186,28.9647,-755070,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,20250307094500,https://openthemagazine.com/columns/bofors-guns-still-smoking/
4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,20250307094500,https://www.ch-aviation.com/news/151219-air-france-klm-mulls-mirroring-sas-acquisition-model-at-tap
4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,20250307094500,https://www.ch-aviation.com/news/151219-air-france-klm-mulls-mirroring-sas-acquisition-model-at-tap
1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Russia,RS,RS,,60.0,100.0,RS,20250307094500,https://www.mykxlg.com/news/national/ap-news-summary-at-3-57-a-m-est/article_6a661f4a-b1e2-5e61-9139-7e7913c85528.html
1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20250307094500,https://www.mykxlg.com/news/national/ap-news-summary-at-3-57-a-m-est/article_6a661f4a-b1e2-5e61-9139-7e7913c85528.html
4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,20250307094500,https://openthemagazine.com/columns/bofors-guns-still-smoking/
