time_window,GKGRECORDID_count,theme_Health_sum,theme_Health_mean,theme_Health_max,theme_Political_sum,theme_Political_mean,theme_Political_max,theme_Economic_sum,theme_Economic_mean,theme_Economic_max,theme_Education_sum,theme_Education_mean,theme_Education_max,theme_Infrastructure_sum,theme_Infrastructure_mean,theme_Infrastructure_max,theme_Social_sum,theme_Social_mean,theme_Social_max,theme_Religious_sum,theme_Religious_mean,theme_Religious_max,theme_Environment_sum,theme_Environment_mean,theme_Environment_max,theme_Energy_sum,theme_Energy_mean,theme_Energy_max,tone_tone_mean,tone_tone_min,tone_tone_max,tone_positive_mean,tone_positive_min,tone_positive_max,tone_negative_mean,tone_negative_min,tone_negative_max,tone_polarity_mean,tone_polarity_min,tone_polarity_max,tone_activity_mean,tone_activity_min,tone_activity_max,tone_self_ref_mean,tone_self_ref_min,tone_self_ref_max,entity_count_sum,entity_count_mean,entity_count_max,entity_variety_sum,entity_variety_mean,entity_variety_max,avg_amount_mean,avg_amount_max,max_amount_mean,max_amount_max,amount_count_sum,amount_count_mean
2021-01-01 00:00:00,4,2,0.5,1,4,1.0,1,4,1.0,1,1,0.25,1,3,0.75,1,2,0.5,1,0,0.0,0,1,0.25,1,0,0.0,0,-1.1674009063632877,-2.72727272727273,0.141043723554302,3.0670472396914574,2.39774330042313,3.67860600193611,4.234448146054742,2.25669957686883,5.45454545454545,7.3014953857461995,4.65444287729196,8.81889763779528,21.897633721371548,19.1674733785092,24.0909090909091,0.2530178681221455,0.0,0.564174894217207,10,2.5,7,2,0.5,1,113300038.29545455,449000000.0,503250035.0,2000000000.0,22,5.5
2021-01-01 00:15:00,9,7,0.7777777777777778,1,9,1.0,1,9,1.0,1,3,0.3333333333333333,1,3,0.3333333333333333,1,6,0.6666666666666666,1,2,0.2222222222222222,1,3,0.3333333333333333,1,0,0.0,0,-3.843597711422117,-9.8159509202454,0.0,2.16348580336101,0.72463768115942,3.59869138495093,6.007083514783124,1.54798761609907,10.7361963190184,8.170569318144128,3.09597523219814,11.6564417177914,20.420357822220957,17.6100628930818,25.3869969040248,0.33764738478809225,0.0,0.749063670411985,1206,134.0,1120,18,2.0,8,6640021368.301852,58957591775.25,78222555581.22223,700000000000.0,43,4.777777777777778
2021-01-01 00:30:00,4,4,1.0,1,4,1.0,1,4,1.0,1,1,0.25,1,2,0.5,1,2,0.5,1,1,0.25,1,1,0.25,1,0,0.0,0,-3.2654366354110076,-7.20670391061452,0.390625,3.0355424879836574,1.8450184501845,4.296875,6.30097912339467,3.90625,9.83240223463687,9.336521611378323,7.01107011070111,12.4581005586592,20.1665797498095,18.6197916666667,22.1787709497207,0.533895001680231,0.2460024600246,1.34983127109111,2004091,501022.75,2000000,6,1.5,4,222289107034.25,888889777986.0,2000270500015.0,8000000000000.0,23,5.75
2021-01-01 00:45:00,6,5,0.8333333333333334,1,6,1.0,1,6,1.0,1,1,0.16666666666666666,1,2,0.3333333333333333,1,3,0.5,1,1,0.16666666666666666,1,4,0.6666666666666666,1,1,0.16666666666666666,1,-1.594909094595895,-4.18410041841004,0.340909090909091,2.8828808461531943,0.836820083682008,3.63636363636364,4.4777899407490915,2.84857571214393,5.34499514091351,7.360670786902285,5.85774058577406,8.49462365591398,20.197538783601434,18.844696969697,22.4887556221889,0.3638367585563054,0.0,0.680272108843537,21,3.5,7,3,0.5,1,41875099.041666664,250250001.0,167166771.33333334,1000000000.0,37,6.166666666666667
2021-01-01 01:00:00,5,3,0.6,1,5,1.0,1,5,1.0,1,1,0.2,1,3,0.6,1,4,0.8,1,0,0.0,0,3,0.6,1,1,0.2,1,-2.4495199170374433,-4.21052631578947,0.417246175243394,2.166412405799697,0.680272108843537,3.125,4.61593232283714,2.50347705146036,5.3030303030303,6.782344728636836,5.42420027816412,8.4280303030303,19.50933765322016,17.8947368421053,21.6968011126565,1.113334122776195,0.0,3.40136054421769,2017,403.4,2000,6,1.2,3,6518783789.65,32587250002.25,70004400000.0,350000000000.0,29,5.8
2021-01-01 01:15:00,3,2,0.6666666666666666,1,3,1.0,1,3,1.0,1,0,0.0,0,0,0.0,0,1,0.3333333333333333,1,1,0.3333333333333333,1,1,0.3333333333333333,1,0,0.0,0,-3.082662533310573,-5.75408843125379,0.340909090909091,2.953832531562307,2.42277407631738,3.63636363636364,6.036495064872877,3.29545454545454,8.17686250757117,8.9903275964352,6.93181818181818,10.5996365838886,19.922420592670065,19.4690265486726,20.411871592974,1.558545338247102,0.227272727272727,3.53982300884956,619,206.33333333333334,619,1,0.3333333333333333,1,1208500524.2916667,3375251408.125,9333333539.666666,27000000000.0,16,5.333333333333333
2021-01-01 01:30:00,9,7,0.7777777777777778,1,9,1.0,1,9,1.0,1,5,0.5555555555555556,1,0,0.0,0,2,0.2222222222222222,1,1,0.1111111111111111,1,0,0.0,0,0,0.0,0,-1.1057488015986892,-4.24328147100424,2.51396648044693,2.6623989927732286,1.25,5.02793296089385,3.768147794371918,1.25,6.22347949080622,6.430546787145147,2.5,8.2036775106082,22.7669480110417,19.8863636363636,26.7857142857143,0.6228238732594567,0.0,2.26308345120226,0,0.0,0,0,0.0,0,28039606.41923077,250250001.0,112555743.44444445,1000000000.0,108,12.0
2021-01-01 01:45:00,9,3,0.3333333333333333,1,6,0.6666666666666666,1,8,0.8888888888888888,1,1,0.1111111111111111,1,3,0.3333333333333333,1,1,0.1111111111111111,1,1,0.1111111111111111,1,0,0.0,0,0,0.0,0,-0.4542305997009819,-4.08163265306122,2.08333333333333,2.5781397417734406,0.680272108843537,4.95049504950495,3.0323703414744223,0.0,5.85365853658537,5.610510083247862,1.82926829268293,9.9009900990099,20.550411406566734,15.625,29.2682926829268,0.8168048524932647,0.0,3.40136054421769,0,0.0,0,0,0.0,0,578175940.6419753,4953333418.111111,4333333342.888889,38000000000.0,26,2.888888888888889
2021-01-01 02:00:00,4,1,0.25,1,3,0.75,1,4,1.0,1,0,0.0,0,1,0.25,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.6616215758985945,-2.4390243902439,1.94174757281553,2.283706696530105,1.13636363636364,3.41463414634146,2.9453282724287,1.45631067961165,5.85365853658537,5.229034968958805,2.84090909090909,9.26829268292683,21.1383935047954,19.0243902439024,23.7154150197628,1.0575532632796674,0.0,2.76679841897233,0,0.0,0,0,0.0,0,27250002.0,109000000.0,27250002.0,109000000.0,3,0.75
2021-01-01 02:15:00,3,0,0.0,0,2,0.6666666666666666,1,3,1.0,1,0,0.0,0,2,0.6666666666666666,1,1,0.3333333333333333,1,0,0.0,0,0,0.0,0,0,0.0,0,-1.6384110468362563,-2.42718446601942,-0.564971751412429,1.8756342847177132,1.0989010989011,3.39805825242718,3.51404533155397,1.69491525423729,5.8252427184466,5.389679616271686,2.82485875706215,9.22330097087379,19.866897405156433,18.9320388349515,20.3389830508475,0.48543689320388334,0.0,1.45631067961165,0,0.0,0,0,0.0,0,1.8333333333333333,3.0,2.0,3.0,3,1.0
